pickup_date,id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,rate_code_id,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,pickup_location_id,dropoff_location_id,junk1,junk2
2012-01-01,0,CMT,2012-01-01 00:06:30,2012-01-01 00:32:41,2,3.5,-73.97289,40.764763,1,N,-74.00416,40.729202,CRD,15.3,0.5,0.5,5.0,0.0,0.0,21.3,0,0,,
2012-01-01,0,CMT,2012-01-01 00:06:34,2012-01-01 00:11:58,1,0.5,-73.98511,40.74541,1,N,-73.977776,40.746487,CRD,4.9,0.5,0.5,1.0,0.0,0.0,6.9,0,0,,
2012-01-01,0,CMT,2012-01-01 00:06:35,2012-01-01 00:15:40,4,1.6,-73.98331,40.76686,1,N,-73.98161,40.77848,CSH,6.9,0.5,0.5,0.0,0.0,0.0,7.9,0,0,,
2012-01-01,0,CMT,2012-01-01 00:06:50,2012-01-01 00:11:02,1,0.9,-73.99003,40.7401,1,N,-73.991875,40.749134,CRD,4.5,0.5,0.5,3.88,0.0,0.0,9.38,0,0,,
2012-01-01,0,CMT,2012-01-01 00:06:51,2012-01-01 00:11:17,1,0.7,-73.9862,40.7434,1,N,-73.98,40.752,CSH,4.5,0.5,0.5,0.0,0.0,0.0,5.5,0,0,,
2012-01-01,0,CMT,2012-01-01 00:06:52,2012-01-01 00:13:53,1,1.2,-74.00792,40.740158,1,N,-74.00564,40.72821,CSH,6.1,0.5,0.5,0.0,0.0,0.0,7.1,0,0,,
2012-01-01,0,CMT,2012-01-01 00:06:53,2012-01-01 00:30:25,1,6.7,-74.0026,40.7424,1,N,-73.948006,40.763702,CRD,18.5,0.5,0.5,0.0,0.0,0.0,19.5,0,0,,
2012-01-01,0,CMT,2012-01-01 00:06:56,2012-01-01 00:13:10,1,0.9,-74.003265,40.738834,1,N,-73.992294,40.74342,CSH,5.3,0.5,0.5,0.0,0.0,0.0,6.2999997,0,0,,
2012-01-01,0,CMT,2012-01-01 00:07:00,2012-01-01 00:10:35,2,1.0,-73.96417,40.761368,1,N,-73.96629,40.772186,CSH,4.9,0.5,0.5,0.0,0.0,0.0,5.9,0,0,,
2012-01-01,0,CMT,2012-01-01 00:07:00,2012-01-01 00:14:39,1,2.7,-73.98135,40.741486,1,N,-73.95403,40.770527,CSH,8.1,0.5,0.5,0.0,0.0,0.0,9.099999,0,0,,
2012-01-01,0,CMT,2012-01-01 00:07:04,2012-01-01 00:13:40,1,1.7,-73.9712,40.787926,1,N,-73.964264,40.771072,CRD,6.9,0.5,0.5,1.1,0.0,0.0,9.0,0,0,,
2012-01-01,0,CMT,2012-01-01 00:07:06,2012-01-01 00:22:14,1,3.5,-73.98877,40.77466,1,N,-73.97904,40.74061,CSH,11.3,0.5,0.5,0.0,0.0,0.0,12.3,0,0,,
2012-01-01,0,CMT,2012-01-01 00:07:10,2012-01-01 00:15:15,2,1.2,-74.005775,40.74033,1,N,-73.99013,40.74654,CRD,6.5,0.5,0.5,1.0,0.0,0.0,8.5,0,0,,
2012-01-01,0,CMT,2012-01-01 00:07:11,2012-01-01 00:14:18,2,2.8999999,-73.995,40.720665,1,N,-73.943665,40.7117,CRD,8.5,0.5,0.5,1.9,0.0,0.0,11.4,0,0,,
2012-01-01,0,CMT,2012-01-01 00:07:11,2012-01-01 00:12:36,1,0.9,-73.974045,40.752285,1,N,-73.96339,40.755936,CSH,5.3,0.5,0.5,0.0,0.0,0.0,6.2999997,0,0,,
2012-01-01,0,CMT,2012-01-01 00:07:12,2012-01-01 00:13:25,2,1.0,-73.99155,40.726986,1,N,-73.97717,40.72633,CSH,5.3,0.5,0.5,0.0,0.0,0.0,6.2999997,0,0,,
2012-01-01,0,CMT,2012-01-01 00:07:13,2012-01-01 00:31:28,1,0.29999998,-73.990425,40.756264,1,N,-73.99,40.756863,CRD,12.1,0.5,0.5,0.0,0.0,0.0,13.1,0,0,,
2012-01-01,0,CMT,2012-01-01 00:07:16,2012-01-01 00:17:17,1,3.3999999,-73.96989,40.752815,1,N,-73.944145,40.788216,CSH,10.9,0.5,0.5,0.0,0.0,0.0,11.9,0,0,,
2012-01-01,0,CMT,2012-01-01 00:07:16,2012-01-01 01:05:43,3,4.2999997,-73.98659,40.752014,1,N,-74.006836,40.743168,CSH,20.9,0.5,0.5,0.0,0.0,0.0,21.9,0,0,,
2012-01-01,0,CMT,2012-01-01 00:07:16,2012-01-01 00:12:22,1,1.3,-73.99367,40.746986,1,N,-73.98754,40.733467,CRD,5.7,0.5,0.5,1.34,0.0,0.0,8.039999,0,0,,
2012-01-01,0,CMT,2012-01-01 00:07:20,2012-01-01 00:09:59,1,0.9,-73.98185,40.776466,1,N,-73.97578,40.788002,CSH,4.1,0.5,0.5,0.0,0.0,0.0,5.1,0,0,,
2012-01-01,0,CMT,2012-01-01 00:07:22,2012-01-01 00:14:49,0,0.8,-74.0008,40.722298,1,N,-73.988304,40.7233,CRD,5.7,0.5,0.5,1.25,0.0,0.0,7.9500003,0,0,,
2012-01-01,0,CMT,2012-01-01 00:07:22,2012-01-01 00:14:33,1,1.9,-73.95313,40.77839,1,N,-73.94561,40.799053,CSH,7.3,0.5,0.5,0.0,0.0,0.0,8.3,0,0,,
2012-01-01,0,CMT,2012-01-01 00:07:27,2012-01-01 00:26:23,2,7.7999997,-73.95841,40.775562,1,N,-73.962296,40.71292,CSH,20.1,0.5,0.5,0.0,0.0,0.0,21.1,0,0,,
2012-01-01,0,CMT,2012-01-01 00:07:29,2012-01-01 00:15:19,1,1.8,-74.00964,40.714966,1,N,-73.98785,40.724216,CRD,6.9,0.5,0.5,1.0,0.0,0.0,8.9,0,0,,
2012-01-01,0,CMT,2012-01-01 00:07:43,2012-01-01 00:22:05,1,4.7999997,-74.01383,40.702538,1,N,-73.99729,40.763775,CSH,13.7,0.5,0.5,0.0,0.0,0.0,14.7,0,0,,
2012-01-01,0,CMT,2012-01-01 00:07:52,2012-01-01 00:12:04,1,1.4,-73.99243,40.75862,1,N,-74.005005,40.741295,CSH,5.3,0.5,0.5,0.0,0.0,0.0,6.2999997,0,0,,
2012-01-01,0,CMT,2012-01-01 00:07:56,2012-01-01 00:13:57,1,1.6,-73.993835,40.756725,1,N,-74.00028,40.739727,CRD,6.1,0.5,0.5,2.0,0.0,0.0,9.099999,0,0,,
2012-01-01,0,CMT,2012-01-01 00:07:57,2012-01-01 00:13:12,1,0.8,-73.97835,40.778057,1,N,-73.986664,40.766544,CSH,4.9,0.5,0.5,0.0,0.0,0.0,5.9,0,0,,
2012-01-01,0,CMT,2012-01-01 00:07:58,2012-01-01 00:09:27,1,0.0,-73.98839,40.73157,1,N,-73.98772,40.7325,CSH,2.9,0.5,0.5,0.0,0.0,0.0,3.8999999,0,0,,
2012-01-01,0,CMT,2012-01-01 00:08:01,2012-01-01 00:10:53,1,0.59999996,-73.96696,40.764004,1,N,-73.973206,40.755726,CRD,4.1,0.5,0.5,1.53,0.0,0.0,6.6299996,0,0,,
2012-01-01,0,CMT,2012-01-01 00:08:02,2012-01-01 00:32:43,2,1.9,-73.977806,40.7579,1,N,-73.9996,40.7616,CSH,13.3,0.5,0.5,0.0,0.0,0.0,14.3,0,0,,
2012-01-01,0,CMT,2012-01-01 00:08:04,2012-01-01 00:13:25,1,0.5,-73.9821,40.746162,1,N,-73.97809,40.741974,CSH,4.9,0.5,0.5,0.0,0.0,0.0,5.9,0,0,,
2012-01-01,0,CMT,2012-01-01 00:08:06,2012-01-01 00:25:26,1,5.2999997,-73.99746,40.732815,1,N,-73.9503,40.784077,CSH,14.5,0.5,0.5,0.0,0.0,0.0,15.5,0,0,,
2012-01-01,0,CMT,2012-01-01 00:08:09,2012-01-01 00:27:12,1,1.7,-73.987755,40.752426,1,N,-73.991325,40.730152,CSH,7.3,0.5,0.5,0.0,0.0,0.0,8.3,0,0,,
2012-01-01,0,CMT,2012-01-01 00:08:09,2012-01-01 00:24:43,1,2.2,-73.9937,40.743225,1,N,-73.96943,40.7652,CSH,10.1,0.5,0.5,0.0,0.0,0.0,11.1,0,0,,
